line,orig_id,orig_facilityId,orig_contactName,orig_contactPhone,orig_contactNotes,orig_cardFileId,orig_createdAt,prop_id,prop_facilityId,prop_contactName,prop_contactEmail,prop_contactPhone,prop_contactNotes,prop_cardFileId,prop_createdAt,prop_needsReview
3,FC-20251112050744-168,FAC-2025111201,yu-aikoubou@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050744-168,FAC-2025111201,,yu-aikoubou@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
4,FC-20251112050744-959,FAC-2025111202,umigame@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050744-959,FAC-2025111202,,umigame@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
5,FC-20251112050744-211,FAC-2025111203,stsw@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050744-211,FAC-2025111203,,stsw@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
6,FC-20251112050745-106,FAC-2025111204,kouwa-cares@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050745-106,FAC-2025111204,,kouwa-cares@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
7,FC-20251112050745-876,FAC-2025111205,nohara12@violin.ocn.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050745-876,FAC-2025111205,,nohara12@violin.ocn.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
8,FC-20251112050745-251,FAC-2025111206,yukkura@grace.ocn.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050745-251,FAC-2025111206,,yukkura@grace.ocn.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
9,FC-20251112050745-771,FAC-2025111207,warashibenosato@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050745-771,FAC-2025111207,,warashibenosato@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
10,FC-20251112050745-429,FAC-2025111208,kuranomachi_wave1@yahoo.co.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050745-429,FAC-2025111208,,kuranomachi_wave1@yahoo.co.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
11,FC-20251112050746-184,FAC-2025111209,t-tochigi@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050746-184,FAC-2025111209,,t-tochigi@cc9.ne.jp,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
12,FC-20251112050746-504,FAC-2025111210,soudankurabu@gmail.com,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,FC-20251112050746-504,FAC-2025111210,,soudankurabu@gmail.com,,,2025-11-11T20:07:44.290Z,aramakimaos@gmail.com,movedEmailFromName
